ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,769.5,0.0,83.5,7.22,21.0,102.0,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
1.0,769.5454545454545,0.0,83.5,7.201818181818182,21.0,102.0,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
2.0,865.6363636363636,1.0909090909090908,83.5,9.758181818181818,21.0,103.63636363636364,20.563636363636363,19.954545454545453,2017-07-10_Seat_Leon_KA_KA_Stau.csv
3.0,1048.909090909091,6.181818181818182,83.5,13.161818181818182,21.0,107.54545454545455,22.0,21.672727272727272,2017-07-10_Seat_Leon_KA_KA_Stau.csv
4.0,1262.090909090909,11.090909090909092,83.5,13.321818181818184,21.0,107.54545454545455,25.427272727272726,24.781818181818185,2017-07-10_Seat_Leon_KA_KA_Stau.csv
5.0,1394.3,12.0,83.5,12.964000000000002,21.0,105.4,24.66,24.7,2017-07-10_Seat_Leon_KA_KA_Stau.csv
6.0,1425.090909090909,12.0,83.5,12.452727272727275,21.0,103.36363636363636,24.00909090909091,24.018181818181816,2017-07-10_Seat_Leon_KA_KA_Stau.csv
7.0,1358.0,12.0,83.5,11.950909090909091,21.0,102.0909090909091,20.354545454545455,19.98181818181818,2017-07-10_Seat_Leon_KA_KA_Stau.csv
8.0,1111.090909090909,9.545454545454545,83.5,14.81,21.0,106.0,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
9.0,889.0,7.181818181818182,83.5,10.85,21.0,105.81818181818181,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
10.0,873.5454545454545,7.090909090909091,83.5,8.395454545454545,21.0,104.72727272727273,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
11.0,895.3333333333334,8.0,83.5,8.153333333333332,21.0,104.0,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
12.0,898.9090909090909,8.0,83.5,8.395454545454545,21.0,104.0,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
13.0,899.5,8.0,83.5,8.286,21.0,104.0,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
14.0,898.4166666666666,8.0,83.5,8.183333333333332,21.0,104.0,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
15.0,897.2727272727273,8.0,83.5,8.252727272727272,21.0,104.0,14.1,14.463636363636363,2017-07-10_Seat_Leon_KA_KA_Stau.csv
16.0,911.7272727272727,8.0,83.5,8.280000000000001,21.0,104.0,14.1,14.172727272727274,2017-07-10_Seat_Leon_KA_KA_Stau.csv
17.0,909.5454545454545,7.181818181818182,83.5,8.290909090909091,21.0,104.0,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
18.0,903.0,6.1,83.5,8.24,21.0,104.0,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
19.0,901.0,4.181818181818182,83.5,8.181818181818182,21.0,104.0,14.1,14.5,2017-07-10_Seat_Leon_KA_KA_Stau.csv
