ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
1.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
2.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
3.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
4.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
5.0,332.61538461538464,0.0,89.0,3.265384615384615,22.692307692307693,97.07692307692308,14.099999999999998,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
6.0,986.5,0.0,83.1,7.97,23.0,96.33333333333333,14.1,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
7.0,854.0,0.0,83.1,8.610833333333334,23.0,98.75,14.1,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
8.0,811.1428571428571,0.0,83.1,7.8100000000000005,23.0,99.0,14.271428571428572,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
9.0,826.4615384615385,0.0,83.1,9.038461538461538,23.0,99.0,14.776923076923076,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
10.0,912.0,0.0,83.1,9.500769230769231,23.0,99.6923076923077,14.161538461538461,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
11.0,932.4615384615385,0.7692307692307693,83.1,9.913076923076924,23.0,101.07692307692308,14.099999999999998,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
12.0,957.2307692307693,1.2307692307692308,83.1,10.24923076923077,23.0,102.0,14.099999999999998,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
13.0,952.1538461538462,2.0,83.1,9.850769230769231,23.0,102.61538461538461,14.13076923076923,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
14.0,941.5384615384615,1.3076923076923077,83.1,9.797692307692309,23.0,103.0,14.376923076923077,14.192307692307692,2017-07-11_Seat_Leon_KA_S_Normal.csv
15.0,945.0,1.0,83.1,9.748999999999999,23.0,103.0,14.1,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
16.0,923.1428571428571,1.2142857142857142,83.1,9.782142857142857,23.0,103.0,14.1,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
17.0,941.6923076923077,2.4615384615384617,83.1,10.243846153846155,23.0,103.0,14.099999999999998,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
18.0,921.8461538461538,3.6923076923076925,83.1,9.931538461538462,23.0,103.84615384615384,14.099999999999998,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
19.0,940.9230769230769,4.923076923076923,83.1,10.406923076923077,23.0,104.0,14.099999999999998,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
20.0,972.3636363636364,4.454545454545454,83.1,9.687272727272727,23.0,104.0,14.1,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
21.0,890.0769230769231,3.0,83.1,9.467692307692307,23.0,103.38461538461539,15.084615384615384,14.807692307692308,2017-07-11_Seat_Leon_KA_S_Normal.csv
22.0,869.9090909090909,4.2727272727272725,83.1,11.273636363636363,23.0,103.81818181818181,14.9,14.5,2017-07-11_Seat_Leon_KA_S_Normal.csv
23.0,985.5454545454545,7.909090909090909,83.1,11.835454545454546,23.0,104.0,15.118181818181819,14.645454545454545,2017-07-11_Seat_Leon_KA_S_Normal.csv
24.0,1012.8181818181819,9.0,83.1,10.076363636363636,23.0,104.9090909090909,15.990909090909092,15.51818181818182,2017-07-11_Seat_Leon_KA_S_Normal.csv
25.0,941.4545454545455,8.090909090909092,83.1,9.316363636363635,23.0,104.0,18.272727272727273,17.80909090909091,2017-07-11_Seat_Leon_KA_S_Normal.csv
26.0,1013.2727272727273,8.181818181818182,83.1,11.290909090909091,23.0,104.27272727272727,23.61818181818182,23.481818181818184,2017-07-11_Seat_Leon_KA_S_Normal.csv
27.0,1212.909090909091,10.181818181818182,83.1,14.012727272727274,23.0,105.36363636363636,27.763636363636365,28.39090909090909,2017-07-11_Seat_Leon_KA_S_Normal.csv
28.0,1389.6363636363637,11.818181818181818,83.1,17.03090909090909,23.0,109.18181818181819,36.30909090909091,36.8,2017-07-11_Seat_Leon_KA_S_Normal.csv
29.0,1720.0,15.090909090909092,78.32727272727271,25.983636363636364,23.0,125.54545454545455,41.81818181818182,42.18181818181818,2017-07-11_Seat_Leon_KA_S_Normal.csv
30.0,1427.090909090909,17.0,40.21818181818182,24.685454545454544,23.0,117.54545454545455,20.945454545454545,29.281818181818185,2017-07-11_Seat_Leon_KA_S_Normal.csv
31.0,1179.111111111111,19.22222222222222,83.5,19.046666666666667,23.0,113.66666666666667,44.3,42.3,2017-07-11_Seat_Leon_KA_S_Normal.csv
32.0,1402.0,23.2,83.5,21.438,23.0,123.6,38.989999999999995,39.9,2017-07-11_Seat_Leon_KA_S_Normal.csv
33.0,1544.909090909091,25.90909090909091,83.5,19.731818181818184,23.0,124.18181818181819,35.21818181818182,34.95454545454545,2017-07-11_Seat_Leon_KA_S_Normal.csv
34.0,1589.0,27.0,83.5,17.266363636363636,23.0,113.27272727272727,30.563636363636363,30.91818181818182,2017-07-11_Seat_Leon_KA_S_Normal.csv
35.0,1577.8,27.0,83.5,16.558,23.0,109.2,30.119999999999997,30.6,2017-07-11_Seat_Leon_KA_S_Normal.csv
36.0,1547.8,26.4,83.5,16.163999999999998,23.0,109.0,29.4,29.4,2017-07-11_Seat_Leon_KA_S_Normal.csv
37.0,1521.6,26.0,83.5,15.994,23.0,108.2,29.4,29.4,2017-07-11_Seat_Leon_KA_S_Normal.csv
38.0,1497.5,26.0,83.5,15.666,23.0,108.0,28.7,29.4,2017-07-11_Seat_Leon_KA_S_Normal.csv
39.0,1428.909090909091,24.727272727272727,83.5,14.390909090909092,23.0,103.9090909090909,20.89090909090909,20.954545454545453,2017-07-11_Seat_Leon_KA_S_Normal.csv
