ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,770.7142857142857,0.0,83.1,11.89857142857143,23.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
1.0,771.0,0.0,83.1,11.780000000000001,23.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
2.0,771.2727272727273,0.0,83.1,11.753636363636366,23.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
3.0,771.25,0.0,83.1,11.955,23.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
4.0,770.0909090909091,0.0,83.1,12.13090909090909,23.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
5.0,770.0,0.0,83.1,12.086,23.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
6.0,771.0,0.0,83.1,11.795,23.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
7.0,797.6666666666666,0.0,83.1,11.935833333333333,23.0,99.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
8.0,890.5,0.0,83.1,14.8675,23.0,99.58333333333333,14.433333333333332,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
9.0,940.1818181818181,0.0,83.1,14.812727272727273,23.0,100.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
10.0,938.5,0.6666666666666666,83.1,14.839999999999998,23.0,100.83333333333333,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
11.0,921.5833333333334,2.6666666666666665,83.1,14.56,23.0,101.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
12.0,962.0,4.0,83.1,15.228333333333333,23.0,101.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
13.0,933.6153846153846,3.6153846153846154,83.1,15.162307692307694,23.0,101.0,14.099999999999998,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
14.0,919.6153846153846,3.0,83.1,14.531538461538462,23.0,101.0,14.86923076923077,14.992307692307692,2017-07-11_Seat_Leon_S_RT_Frei.csv
15.0,905.6153846153846,4.0,83.1,14.331538461538461,23.0,101.0,16.1,15.853846153846153,2017-07-11_Seat_Leon_S_RT_Frei.csv
16.0,939.4285714285714,6.714285714285714,83.1,14.740714285714287,23.0,101.5,16.1,16.1,2017-07-11_Seat_Leon_S_RT_Frei.csv
17.0,1074.6923076923076,9.23076923076923,83.1,17.093846153846155,23.0,102.76923076923077,18.638461538461538,18.54615384615385,2017-07-11_Seat_Leon_S_RT_Frei.csv
18.0,1031.5,10.0,83.1,16.726666666666663,23.0,100.16666666666667,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
19.0,943.1538461538462,7.538461538461538,83.1,15.076923076923077,23.0,101.0,14.099999999999998,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
20.0,914.1428571428571,6.0,83.1,14.650714285714287,23.0,101.0,15.0,15.035714285714286,2017-07-11_Seat_Leon_S_RT_Frei.csv
21.0,932.6153846153846,6.769230769230769,83.1,13.843846153846155,23.0,101.15384615384616,23.13076923076923,24.03076923076923,2017-07-11_Seat_Leon_S_RT_Frei.csv
22.0,1244.3076923076924,10.692307692307692,83.1,19.40230769230769,23.0,103.92307692307692,34.207692307692305,34.09230769230769,2017-07-11_Seat_Leon_S_RT_Frei.csv
23.0,1257.0,13.461538461538462,83.1,24.905384615384612,23.0,109.46153846153847,17.838461538461537,20.107692307692307,2017-07-11_Seat_Leon_S_RT_Frei.csv
24.0,951.3076923076923,11.923076923076923,83.1,15.116923076923078,23.0,106.53846153846153,14.099999999999998,14.407692307692308,2017-07-11_Seat_Leon_S_RT_Frei.csv
25.0,903.2307692307693,6.846153846153846,83.1,14.458461538461538,23.0,102.6923076923077,14.099999999999998,14.099999999999998,2017-07-11_Seat_Leon_S_RT_Frei.csv
26.0,902.5,3.5714285714285716,83.1,14.247142857142856,23.0,101.42857142857143,14.157142857142857,14.385714285714286,2017-07-11_Seat_Leon_S_RT_Frei.csv
27.0,846.3846153846154,3.0,83.1,13.516923076923076,23.0,100.92307692307692,15.26923076923077,15.084615384615384,2017-07-11_Seat_Leon_S_RT_Frei.csv
28.0,896.2307692307693,2.230769230769231,83.1,13.986153846153845,23.0,100.3076923076923,15.884615384615385,15.515384615384615,2017-07-11_Seat_Leon_S_RT_Frei.csv
29.0,914.5,3.857142857142857,83.1,14.382857142857144,23.0,101.0,15.585714285714285,15.3,2017-07-11_Seat_Leon_S_RT_Frei.csv
30.0,994.3076923076923,5.0,83.1,15.326923076923077,23.0,101.07692307692308,14.099999999999998,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
31.0,924.8333333333334,4.083333333333333,83.1,14.915,23.0,101.75,15.299999999999999,15.333333333333334,2017-07-11_Seat_Leon_S_RT_Frei.csv
32.0,867.0,5.0,83.1,13.580833333333333,23.0,101.41666666666667,18.033333333333335,17.60833333333333,2017-07-11_Seat_Leon_S_RT_Frei.csv
33.0,940.5,7.583333333333333,83.1,15.344999999999999,23.0,102.0,14.883333333333333,15.475,2017-07-11_Seat_Leon_S_RT_Frei.csv
34.0,944.3846153846154,6.384615384615385,83.1,14.095384615384615,23.0,102.0,15.36923076923077,15.038461538461538,2017-07-11_Seat_Leon_S_RT_Frei.csv
35.0,950.5714285714286,8.0,83.1,14.218571428571428,23.0,101.57142857142857,24.900000000000002,25.871428571428574,2017-07-11_Seat_Leon_S_RT_Frei.csv
36.0,1304.3333333333333,11.333333333333334,83.1,22.926666666666666,23.0,108.0,42.575,43.63333333333333,2017-07-11_Seat_Leon_S_RT_Frei.csv
37.0,1813.7692307692307,16.153846153846153,67.1923076923077,35.39076923076923,23.0,136.53846153846155,40.45384615384615,42.669230769230765,2017-07-11_Seat_Leon_S_RT_Frei.csv
38.0,1329.0,15.692307692307692,54.39230769230768,25.44,23.0,107.76923076923077,14.099999999999998,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
39.0,941.5,11.0,81.14999999999999,15.923333333333332,23.0,106.0,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
40.0,908.2727272727273,10.727272727272727,83.5,14.794545454545455,23.0,103.54545454545455,14.1,14.5,2017-07-11_Seat_Leon_S_RT_Frei.csv
41.0,862.5,10.0,83.5,13.76,23.0,103.0,19.683333333333334,18.925,2017-07-11_Seat_Leon_S_RT_Frei.csv
42.0,847.8461538461538,11.846153846153847,83.5,12.204615384615384,23.0,103.0,26.092307692307692,25.015384615384615,2017-07-11_Seat_Leon_S_RT_Frei.csv
43.0,1020.0,16.692307692307693,83.5,15.504615384615384,23.0,105.38461538461539,41.676923076923075,42.669230769230765,2017-07-11_Seat_Leon_S_RT_Frei.csv
44.0,1300.2857142857142,22.428571428571427,76.0,22.30785714285714,23.0,116.0,41.285714285714285,40.25714285714286,2017-07-11_Seat_Leon_S_RT_Frei.csv
45.0,1167.923076923077,25.0,50.88461538461539,19.317692307692308,23.0,106.61538461538461,14.099999999999998,16.223076923076924,2017-07-11_Seat_Leon_S_RT_Frei.csv
