ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,0.0,0.0,89.0,0.88,18.0,96.28571428571429,14.1,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
1.0,0.0,0.0,89.0,1.4953846153846153,18.0,96.61538461538461,14.099999999999998,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
2.0,847.1428571428571,0.0,89.0,11.297142857142857,18.0,93.85714285714286,14.1,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
3.0,941.8461538461538,0.0,84.46153846153847,16.17153846153846,18.0,95.38461538461539,14.099999999999998,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
4.0,892.9230769230769,0.0,83.1,14.913076923076924,18.0,96.0,14.099999999999998,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
5.0,870.5,0.0,83.1,14.47,18.0,96.0,14.671428571428573,14.728571428571428,2017-07-26_Seat_Leon_S_KA_Normal.csv
6.0,905.0,0.0,83.1,14.770000000000001,18.0,96.0,15.699999999999998,15.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
7.0,917.4615384615385,0.0,83.1,15.297692307692309,18.0,96.53846153846153,16.315384615384616,15.976923076923079,2017-07-26_Seat_Leon_S_KA_Normal.csv
8.0,958.1428571428571,0.6428571428571429,83.1,15.69,18.0,97.85714285714286,14.328571428571427,14.614285714285714,2017-07-26_Seat_Leon_S_KA_Normal.csv
9.0,944.6666666666666,1.0833333333333333,83.1,15.979999999999999,18.0,99.0,14.9,14.666666666666666,2017-07-26_Seat_Leon_S_KA_Normal.csv
10.0,927.6666666666666,2.5,83.1,15.776666666666666,18.0,99.41666666666667,15.166666666666666,14.9,2017-07-26_Seat_Leon_S_KA_Normal.csv
11.0,905.8571428571429,5.5,83.1,15.342142857142857,18.0,100.0,16.757142857142856,16.142857142857142,2017-07-26_Seat_Leon_S_KA_Normal.csv
12.0,1230.2307692307693,9.307692307692308,83.1,21.373846153846156,18.0,103.84615384615384,32.57692307692308,31.653846153846153,2017-07-26_Seat_Leon_S_KA_Normal.csv
13.0,1928.75,17.666666666666668,83.1,49.12833333333333,18.0,119.33333333333333,38.583333333333336,34.7,2017-07-26_Seat_Leon_S_KA_Normal.csv
14.0,1681.0,21.428571428571427,45.971428571428575,28.265714285714285,18.0,106.0,34.94285714285714,32.128571428571426,2017-07-26_Seat_Leon_S_KA_Normal.csv
15.0,1517.25,25.333333333333332,83.5,34.519999999999996,18.0,119.5,55.150000000000006,55.85,2017-07-26_Seat_Leon_S_KA_Normal.csv
16.0,1695.25,30.333333333333332,52.875,32.97333333333333,18.0,109.83333333333333,24.833333333333332,19.233333333333334,2017-07-26_Seat_Leon_S_KA_Normal.csv
17.0,1036.1538461538462,29.307692307692307,71.38461538461539,19.948461538461537,18.0,107.46153846153847,14.099999999999998,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
18.0,965.6153846153846,25.153846153846153,83.5,16.822307692307692,18.0,103.76923076923077,14.099999999999998,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
19.0,948.8461538461538,18.846153846153847,83.5,16.37153846153846,18.0,101.3076923076923,14.099999999999998,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
20.0,941.7142857142857,10.142857142857142,83.5,16.035714285714285,18.0,101.0,14.1,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
21.0,941.0,4.166666666666667,83.5,15.8525,18.0,100.41666666666667,14.1,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
22.0,920.9230769230769,3.6153846153846154,83.5,15.38923076923077,18.0,100.0,18.4,18.03846153846154,2017-07-26_Seat_Leon_S_KA_Normal.csv
23.0,924.7142857142857,5.571428571428571,83.5,16.694285714285712,18.0,101.0,16.25,16.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
24.0,983.6923076923077,4.615384615384615,83.5,16.873076923076923,18.0,101.0,14.099999999999998,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
25.0,942.7692307692307,3.3846153846153846,83.5,16.116153846153846,18.0,101.0,15.607692307692307,15.23846153846154,2017-07-26_Seat_Leon_S_KA_Normal.csv
26.0,939.0769230769231,3.076923076923077,83.5,15.762307692307692,18.0,100.0,14.746153846153845,14.992307692307692,2017-07-26_Seat_Leon_S_KA_Normal.csv
27.0,971.8181818181819,3.8181818181818183,83.5,16.611818181818183,18.0,100.0,14.1,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
28.0,922.0,3.0,83.5,15.753636363636362,18.0,100.0,14.1,14.5,2017-07-26_Seat_Leon_S_KA_Normal.csv
29.0,882.0,3.0,83.5,14.975454545454545,18.0,99.45454545454545,14.1,15.081818181818182,2017-07-26_Seat_Leon_S_KA_Normal.csv
30.0,880.9090909090909,4.363636363636363,83.5,14.956363636363637,18.0,99.63636363636364,17.00909090909091,16.60909090909091,2017-07-26_Seat_Leon_S_KA_Normal.csv
