ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,861.5,0.0,83.1,9.58,21.0,100.0,14.1,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
1.0,861.6363636363636,0.0,83.1,9.64,21.0,100.0,14.1,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
2.0,861.9090909090909,0.0,83.1,9.74,21.0,100.0,14.1,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
3.0,861.3636363636364,0.0,83.1,9.704545454545455,21.0,100.0,14.1,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
4.0,917.2727272727273,0.0,83.1,10.104545454545455,21.0,100.0,15.3,14.863636363636363,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
5.0,929.6363636363636,0.0,83.1,10.67909090909091,21.0,100.81818181818181,15.3,15.3,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
6.0,932.6363636363636,0.0,83.1,10.417272727272728,21.0,101.0,14.972727272727274,15.154545454545456,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
7.0,969.5454545454545,0.8181818181818182,83.1,10.884545454545453,21.0,101.0909090909091,14.1,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
8.0,971.3333333333334,1.0,83.1,11.11,21.0,102.0,14.1,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
9.0,926.6363636363636,1.0,83.1,10.200909090909091,21.0,101.63636363636364,14.609090909090908,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
10.0,928.4545454545455,1.0,83.1,10.93,21.0,101.0,14.9,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
11.0,938.9090909090909,1.0,83.1,11.024545454545455,21.0,101.0,14.245454545454544,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
12.0,943.2727272727273,1.4545454545454546,83.1,10.503636363636364,21.0,101.0,14.1,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
13.0,930.7272727272727,2.5454545454545454,83.1,10.594545454545456,21.0,101.72727272727273,14.463636363636363,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
14.0,935.0909090909091,3.6363636363636362,83.1,11.106363636363637,21.0,102.0,14.1,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
15.0,936.7272727272727,4.7272727272727275,83.1,11.073636363636364,21.0,102.0,14.1,14.5,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
16.0,929.6363636363636,6.636363636363637,83.1,10.789090909090909,21.0,102.0,14.536363636363637,14.827272727272726,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
17.0,965.0,8.083333333333334,83.1,11.612499999999999,21.0,102.25,18.650000000000002,18.325,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
18.0,1168.6,10.1,83.1,14.16,21.0,101.8,22.660000000000004,22.35,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
19.0,1294.4545454545455,11.181818181818182,83.1,14.382727272727273,21.0,98.63636363636364,23.1,22.918181818181818,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
20.0,1335.0,12.0,83.1,14.646666666666667,21.0,97.5,23.7,23.366666666666664,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
21.0,1359.3636363636363,12.0,83.1,14.716363636363637,21.0,97.0,24.263636363636362,24.481818181818184,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
22.0,1448.8181818181818,12.545454545454545,83.1,16.221818181818183,21.0,98.45454545454545,30.181818181818183,29.336363636363636,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
23.0,1647.0,14.272727272727273,83.1,21.524545454545454,21.0,107.18181818181819,33.654545454545456,36.59090909090909,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
24.0,1136.1818181818182,15.0,83.1,20.58090909090909,21.0,113.54545454545455,18.927272727272726,17.772727272727273,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
25.0,1085.4545454545455,17.454545454545453,83.1,19.83090909090909,21.0,109.0,36.054545454545455,35.09090909090909,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
26.0,1387.0,23.454545454545453,83.1,19.216363636363635,21.0,117.0,37.63636363636363,37.127272727272725,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
27.0,1482.6363636363637,25.0,83.1,16.83818181818182,21.0,105.54545454545455,27.38181818181818,26.827272727272728,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
28.0,1455.090909090909,24.818181818181817,83.1,15.792727272727273,21.0,98.27272727272727,24.44545454545454,24.263636363636362,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
29.0,1404.909090909091,23.727272727272727,83.1,14.726363636363637,21.0,97.0,21.172727272727272,20.654545454545453,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
30.0,1291.7272727272727,22.272727272727273,83.1,13.09909090909091,21.0,99.72727272727273,15.172727272727274,15.672727272727274,2017-07-27_Seat_Leon_KA_KA_2_Normal.csv
