ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
1.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
2.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
3.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
4.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
5.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
6.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
7.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
8.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
9.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
10.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
11.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
12.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.46923076923077,2017-07-28_Seat_Leon_KA_RT_Stau.csv
13.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.223076923076924,2017-07-28_Seat_Leon_KA_RT_Stau.csv
14.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
15.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
16.0,0.0,0.0,89.0,0.91,22.0,99.0,14.233333333333334,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
17.0,0.0,0.0,89.0,0.91,22.0,99.0,14.284615384615384,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
18.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
19.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
20.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
21.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
22.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
23.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
24.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
25.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
26.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
27.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
28.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
29.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
30.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
31.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
32.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
33.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
34.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
35.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
36.0,0.0,0.0,89.0,0.91,22.0,99.0,14.099999999999998,14.5,2017-07-28_Seat_Leon_KA_RT_Stau.csv
