ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,947.0,16.0,83.5,7.88,26.0,101.0,22.0,22.0,2017-08-05_Seat_Leon_S_CW_Normal.csv
1.0,965.0,16.0,83.5,11.123333333333333,26.0,101.44444444444444,27.555555555555557,26.166666666666668,2017-08-05_Seat_Leon_S_CW_Normal.csv
2.0,1104.0,18.625,83.5,12.20625,26.0,105.0,33.325,33.7125,2017-08-05_Seat_Leon_S_CW_Normal.csv
3.0,1181.142857142857,20.142857142857142,83.5,12.197142857142856,26.0,107.57142857142857,29.8,28.2,2017-08-05_Seat_Leon_S_CW_Normal.csv
4.0,1221.7777777777778,21.0,83.5,11.912222222222221,25.0,105.22222222222223,27.044444444444444,27.34444444444445,2017-08-05_Seat_Leon_S_CW_Normal.csv
5.0,1237.5714285714287,21.0,83.5,11.69,25.0,102.71428571428571,27.271428571428572,27.32857142857143,2017-08-05_Seat_Leon_S_CW_Normal.csv
6.0,1259.0,21.0,83.5,11.389999999999999,25.0,102.0,25.928571428571427,26.771428571428572,2017-08-05_Seat_Leon_S_CW_Normal.csv
7.0,1218.2857142857142,20.428571428571427,83.5,10.85,25.0,99.42857142857143,22.0,22.4,2017-08-05_Seat_Leon_S_CW_Normal.csv
8.0,1187.3333333333333,20.0,83.5,9.945555555555556,25.0,98.44444444444444,26.533333333333335,26.055555555555557,2017-08-05_Seat_Leon_S_CW_Normal.csv
9.0,1171.25,20.0,83.5,11.11,25.0,99.5,26.8,26.85,2017-08-05_Seat_Leon_S_CW_Normal.csv
10.0,1178.0,20.0,83.5,11.346250000000001,25.0,102.125,26.5,26.55,2017-08-05_Seat_Leon_S_CW_Normal.csv
11.0,1196.0,20.0,83.5,11.334285714285715,25.0,103.0,24.557142857142857,26.3,2017-08-05_Seat_Leon_S_CW_Normal.csv
12.0,1166.8,19.6,83.5,11.3,25.0,102.4,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
13.0,1123.0,18.0,83.5,8.876,25.0,102.0,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
14.0,966.3333333333334,12.444444444444445,83.5,8.093333333333334,25.0,100.44444444444444,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
15.0,892.5,6.125,83.5,7.72375,25.0,100.0,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
16.0,899.25,2.75,83.5,7.61,25.0,100.0,14.1,15.0,2017-08-05_Seat_Leon_S_CW_Normal.csv
17.0,906.0,1.0,83.5,8.474,25.0,100.0,15.12,15.3,2017-08-05_Seat_Leon_S_CW_Normal.csv
18.0,909.3333333333334,3.2222222222222223,83.5,8.846666666666668,25.0,100.77777777777777,19.2,18.8,2017-08-05_Seat_Leon_S_CW_Normal.csv
19.0,949.1428571428571,6.142857142857143,83.5,9.16,25.0,101.57142857142857,18.8,18.457142857142856,2017-08-05_Seat_Leon_S_CW_Normal.csv
20.0,1000.375,9.0,83.5,11.19,25.0,101.75,15.8625,16.45,2017-08-05_Seat_Leon_S_CW_Normal.csv
21.0,1003.0,8.0,83.5,9.425714285714287,25.0,101.0,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
22.0,938.5,4.25,83.5,8.540000000000001,24.875,101.0,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
23.0,849.2222222222222,1.1111111111111112,83.5,7.933333333333334,24.0,100.33333333333333,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
24.0,786.375,0.0,83.5,6.86,24.0,99.5,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
25.0,772.0,0.0,83.5,6.77,24.0,99.0,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
26.0,835.75,0.0,83.5,6.77,24.0,99.0,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
27.0,942.0,0.0,83.5,7.99,24.0,99.0,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
28.0,887.0,0.0,83.5,7.83,24.0,99.6,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
29.0,806.2222222222222,0.0,83.5,7.140000000000001,24.0,99.44444444444444,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
30.0,772.5,0.0,83.5,6.74,24.0,99.0,14.1,14.5,2017-08-05_Seat_Leon_S_CW_Normal.csv
31.0,768.0,0.0,83.5,6.465,24.0,99.0,16.866666666666664,15.75,2017-08-05_Seat_Leon_S_CW_Normal.csv
32.0,1001.6,1.4,83.5,9.395,24.0,100.8,22.4,22.0,2017-08-05_Seat_Leon_S_CW_Normal.csv
33.0,1023.4444444444445,5.333333333333333,83.5,13.53111111111111,24.0,104.55555555555556,23.0,22.0,2017-08-05_Seat_Leon_S_CW_Normal.csv
34.0,1363.625,10.5,83.5,19.240000000000002,24.0,111.0,27.8,29.0,2017-08-05_Seat_Leon_S_CW_Normal.csv
35.0,2015.5,17.2,78.28999999999999,35.0,24.0,144.8,43.730000000000004,42.519999999999996,2017-08-05_Seat_Leon_S_CW_Normal.csv
36.0,2125.8888888888887,22.333333333333332,31.399999999999995,44.23555555555556,24.0,123.22222222222223,19.01111111111111,29.41111111111111,2017-08-05_Seat_Leon_S_CW_Normal.csv
37.0,1706.75,23.875,83.5,23.72,24.0,104.75,39.55,39.137499999999996,2017-08-05_Seat_Leon_S_CW_Normal.csv
38.0,1679.7777777777778,30.0,83.5,35.0,24.0,126.77777777777777,32.888888888888886,33.0,2017-08-05_Seat_Leon_S_CW_Normal.csv
39.0,1590.0,33.0,48.5,25.676666666666662,24.0,112.22222222222223,27.288888888888888,21.43333333333333,2017-08-05_Seat_Leon_S_CW_Normal.csv
40.0,1266.0,33.888888888888886,60.166666666666664,17.756666666666668,24.0,114.0,34.23333333333333,34.855555555555554,2017-08-05_Seat_Leon_S_CW_Normal.csv
41.0,1302.8,34.6,83.5,14.818000000000001,24.0,116.0,32.9,33.3,2017-08-05_Seat_Leon_S_CW_Normal.csv
42.0,1312.0,35.0,83.5,12.77,24.0,116.0,29.799999999999997,31.349999999999998,2017-08-05_Seat_Leon_S_CW_Normal.csv
43.0,1335.2,35.7,83.5,11.675,24.0,105.2,25.839999999999996,24.6,2017-08-05_Seat_Leon_S_CW_Normal.csv
44.0,1329.8,35.3,83.5,10.48,24.0,100.4,22.0,16.89,2017-08-05_Seat_Leon_S_CW_Normal.csv
45.0,1289.0,34.5,83.5,10.468333333333334,24.0,103.33333333333333,20.4,20.4,2017-08-05_Seat_Leon_S_CW_Normal.csv
46.0,1260.8,33.7,83.5,10.879999999999999,24.0,105.0,23.2,22.57,2017-08-05_Seat_Leon_S_CW_Normal.csv
