ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
1.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
2.0,0.0,0.0,89.0,0.91,22.0,99.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
3.0,628.6666666666666,0.0,87.6888888888889,3.846666666666667,22.0,98.22222222222223,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
4.0,901.5,0.0,83.1,9.595,22.0,98.625,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
5.0,860.0,0.0,83.1,8.72,22.0,99.0,14.580000000000002,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
6.0,895.3333333333334,0.0,83.1,8.72,22.0,99.0,14.9,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
7.0,913.0,0.0,83.1,9.586666666666666,22.0,99.0,14.9,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
8.0,925.0,0.0,83.1,10.02,22.0,99.42857142857143,14.214285714285714,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
9.0,955.0,0.0,83.1,10.161666666666667,22.0,100.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
10.0,955.75,0.625,83.1,10.3025,22.0,100.875,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
11.0,956.0,1.0,83.1,10.49,22.0,101.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
12.0,946.0,1.0,83.1,10.49,22.0,102.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
13.0,936.0,1.0,83.1,10.459999999999999,22.0,102.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
14.0,957.1111111111111,1.0,83.1,10.415555555555555,22.0,102.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
15.0,965.5,1.0,83.1,10.33,22.0,102.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
16.0,923.0,1.0,83.1,10.1425,22.0,102.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
17.0,910.2,2.2,83.1,10.190000000000001,22.0,102.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
18.0,907.0,3.0,83.1,10.63,22.0,102.0,14.1,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
19.0,943.0,4.875,83.1,10.83125,22.0,102.625,14.9,14.5,2017-08-07_Seat_Leon_KA_RT_Frei.csv
