ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,0.0,0.0,89.0,0.88,3.0,96.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
1.0,0.0,0.0,89.0,0.88,3.0,96.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
2.0,515.4545454545455,0.0,88.46363636363637,3.9963636363636366,3.0,93.27272727272727,14.427272727272726,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
3.0,1058.1666666666667,0.0,83.1,17.650000000000002,3.0,93.0,14.133333333333333,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
4.0,971.2727272727273,0.0,83.1,16.569090909090907,3.0,94.81818181818181,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
5.0,941.0769230769231,0.0,83.1,15.901538461538461,3.0,95.0,14.099999999999998,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
6.0,917.75,0.0,83.1,15.465000000000002,3.0,95.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
7.0,926.75,0.0,83.1,15.471666666666666,3.0,95.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
8.0,936.5,0.0,83.1,15.737142857142858,3.0,95.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
9.0,939.9230769230769,0.0,83.1,15.845384615384615,3.0,96.0,14.099999999999998,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
10.0,940.3333333333334,0.0,83.1,15.976666666666667,3.0,96.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
11.0,948.4285714285714,0.0,83.1,16.16857142857143,3.0,96.0,14.157142857142857,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
12.0,967.3333333333334,0.0,83.1,16.485833333333332,3.0,96.08333333333333,14.366666666666667,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
13.0,981.9090909090909,0.0,83.1,16.863636363636363,3.0,97.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
14.0,985.25,0.0,83.1,16.959999999999997,3.0,97.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
15.0,1005.9166666666666,0.0,83.1,17.513333333333332,3.0,97.5,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
16.0,1020.5,0.0,83.1,17.779999999999998,3.0,98.0,14.433333333333332,14.166666666666666,2018-02-14_Seat_Leon_RT_S_Normal.csv
17.0,1023.7,0.0,83.1,18.044,3.0,98.8,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
18.0,1023.2727272727273,0.0,83.1,18.08090909090909,3.0,99.81818181818181,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
19.0,1032.1666666666667,0.0,83.1,18.271666666666665,3.0,100.08333333333333,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
20.0,1031.3333333333333,0.08333333333333333,83.1,18.2475,3.0,101.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
21.0,1032.090909090909,1.1818181818181819,83.1,18.365454545454543,3.0,101.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
22.0,1057.7692307692307,2.0,83.1,18.933846153846154,3.0,101.53846153846153,14.099999999999998,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
23.0,1064.6153846153845,2.0,83.1,19.255384615384614,3.0,102.0,14.099999999999998,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
24.0,1036.5714285714287,1.8571428571428572,83.1,18.631428571428575,3.0,102.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
25.0,1029.0,1.0,83.1,18.501666666666665,3.0,102.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
26.0,1037.8461538461538,1.0,83.1,18.548461538461538,3.0,102.0,14.099999999999998,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
27.0,1041.4285714285713,1.0,83.1,18.789285714285715,3.0,102.0,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
28.0,1032.5384615384614,1.0,83.1,18.49076923076923,3.0,102.0,14.099999999999998,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
29.0,1040.5384615384614,1.0,83.1,18.620769230769234,3.0,102.0,14.099999999999998,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
30.0,1039.857142857143,1.0,83.1,18.839285714285715,3.0,102.92857142857143,14.1,14.5,2018-02-14_Seat_Leon_RT_S_Normal.csv
