ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,0.0,0.0,88.59999999999998,0.86,4.0,97.0,14.5,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
1.0,0.0,0.0,88.6,0.8599999999999999,4.0,97.0,14.20909090909091,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
2.0,90.0,0.0,88.6,1.201818181818182,4.0,151.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
3.0,699.2727272727273,0.0,87.6,7.090000000000001,4.0,132.36363636363637,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
4.0,1061.6363636363637,0.0,83.1,18.246363636363636,4.0,95.27272727272727,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
5.0,1000.9090909090909,0.0,83.1,17.138181818181817,4.0,95.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
6.0,975.2727272727273,0.0,83.28181818181817,16.56,4.0,95.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
7.0,960.1818181818181,0.0,83.28181818181817,16.23181818181818,4.0,95.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
8.0,966.0909090909091,0.0,83.1,16.297272727272727,4.0,95.18181818181819,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
9.0,956.8181818181819,0.0,83.39090909090909,16.13090909090909,4.0,96.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
10.0,992.0,0.0,83.17272727272727,16.861818181818183,4.0,96.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
11.0,976.7272727272727,0.0,83.1,16.925454545454542,4.0,96.45454545454545,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
12.0,995.1818181818181,0.0,83.5,17.365454545454543,4.0,97.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
13.0,985.3636363636364,0.0,83.42727272727274,17.26181818181818,4.0,97.63636363636364,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
14.0,967.0,0.5454545454545454,83.2090909090909,17.098181818181818,4.0,98.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
15.0,959.3636363636364,1.6363636363636365,83.5,17.030909090909088,4.0,98.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
16.0,1003.8333333333334,2.0,83.3,17.581666666666667,4.0,98.91666666666667,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
17.0,977.7272727272727,2.0,83.1,17.394545454545455,4.0,99.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
18.0,971.1818181818181,2.0,83.39090909090909,17.37,4.0,99.27272727272727,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
19.0,994.6363636363636,2.0,83.17272727272727,17.737272727272725,4.0,100.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
20.0,987.7272727272727,2.0,83.46363636363637,17.47818181818182,4.0,100.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
21.0,975.0909090909091,1.6363636363636365,83.13636363636364,17.712727272727275,4.0,100.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
22.0,947.2727272727273,1.9090909090909092,83.5,17.01181818181818,4.0,100.0,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
23.0,933.0,4.166666666666667,83.5,16.839166666666667,4.0,100.75,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
24.0,957.4,7.1,83.5,17.854999999999997,4.0,101.9,16.3,15.99,2018-02-18_Seat_Leon_RT_KA_Stau.csv
25.0,1286.6666666666667,10.25,83.5,24.995833333333334,4.0,105.91666666666667,27.7,30.099999999999998,2018-02-18_Seat_Leon_RT_KA_Stau.csv
26.0,1646.4545454545455,13.727272727272727,83.5,34.878181818181815,4.0,118.0909090909091,31.127272727272725,31.03636363636364,2018-02-18_Seat_Leon_RT_KA_Stau.csv
27.0,1670.8181818181818,15.0,83.2090909090909,34.85090909090909,4.0,113.45454545454545,28.781818181818185,29.0,2018-02-18_Seat_Leon_RT_KA_Stau.csv
28.0,1668.909090909091,15.0,83.1,34.480000000000004,4.0,112.36363636363636,28.345454545454547,28.563636363636363,2018-02-18_Seat_Leon_RT_KA_Stau.csv
29.0,1669.6363636363637,15.0,83.1,35.09727272727273,4.0,112.54545454545455,27.90909090909091,27.94545454545454,2018-02-18_Seat_Leon_RT_KA_Stau.csv
30.0,1668.2727272727273,15.0,83.46363636363637,34.56272727272728,4.0,112.0,27.55454545454546,27.29090909090909,2018-02-18_Seat_Leon_RT_KA_Stau.csv
31.0,1643.7272727272727,14.545454545454545,83.17272727272727,33.39545454545455,4.0,111.36363636363636,25.681818181818183,25.463636363636365,2018-02-18_Seat_Leon_RT_KA_Stau.csv
32.0,1615.6666666666667,14.0,83.5,32.51583333333333,4.0,110.25,23.849999999999998,23.441666666666666,2018-02-18_Seat_Leon_RT_KA_Stau.csv
33.0,1549.909090909091,13.272727272727273,83.5,29.978181818181817,4.0,108.18181818181819,19.55454545454546,19.98181818181818,2018-02-18_Seat_Leon_RT_KA_Stau.csv
34.0,1256.090909090909,10.545454545454545,83.5,23.495454545454546,4.0,99.72727272727273,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
35.0,1044.7272727272727,9.090909090909092,83.5,18.968181818181815,4.0,97.54545454545455,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
36.0,1027.25,9.0,83.5,18.761666666666667,4.0,100.66666666666667,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
37.0,1043.0,9.0,83.5,18.987272727272725,4.0,102.45454545454545,14.1,14.5,2018-02-18_Seat_Leon_RT_KA_Stau.csv
38.0,1044.3636363636363,8.272727272727273,83.5,19.165454545454544,4.0,103.0,14.1,14.20909090909091,2018-02-18_Seat_Leon_RT_KA_Stau.csv
