ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,769.4285714285714,0.0,83.1,6.747142857142856,-1.0,98.0,14.1,14.5,2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv
1.0,770.0769230769231,0.0,83.5,6.591538461538462,-1.0,98.0,14.099999999999998,14.5,2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv
2.0,771.7272727272727,0.0,83.5,6.5636363636363635,-1.0,98.0,14.1,14.5,2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv
3.0,771.1666666666666,0.0,83.5,6.644166666666667,-1.0,98.0,14.1,14.5,2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv
4.0,771.5384615384615,0.0,83.22307692307692,6.751538461538461,-1.0,98.0,14.099999999999998,14.5,2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv
5.0,770.8333333333334,0.0,83.46666666666667,6.75,-1.0,98.0,14.1,14.5,2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv
6.0,770.7692307692307,0.0,83.5,6.811538461538461,0.0,98.0,14.099999999999998,14.5,2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv
7.0,769.7142857142857,0.0,83.5,6.688571428571429,0.0,98.0,14.1,14.5,2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv
8.0,768.7692307692307,0.0,83.5,6.697692307692307,0.0,98.0,14.099999999999998,14.5,2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv
9.0,769.3846153846154,0.0,83.5,6.78,0.0,98.0,14.7,15.384615384615385,2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv
