ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,941.0,0.0,83.1,16.94,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
1.0,941.0,0.0,83.1,16.99,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
2.0,941.4166666666666,0.0,83.1,17.128333333333334,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
3.0,942.0,0.0,83.1,16.983636363636364,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
4.0,940.7272727272727,0.0,83.1,17.05272727272727,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
5.0,939.2727272727273,0.0,83.1,17.032727272727275,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
6.0,939.8181818181819,0.0,83.1,17.016363636363636,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
7.0,939.0909090909091,0.0,83.1,16.901818181818182,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
8.0,941.8181818181819,0.0,83.1,16.843636363636364,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
9.0,939.8181818181819,0.0,83.1,16.76181818181818,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
10.0,939.3333333333334,0.0,83.1,16.600833333333334,6.0,102.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
11.0,936.8181818181819,0.0,83.1,16.888181818181817,6.0,102.54545454545455,14.427272727272726,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
12.0,934.0909090909091,0.0,83.1,16.634545454545453,6.0,103.0,14.5,14.172727272727274,2018-02-26_Seat_Leon_KA_KA_Frei.csv
13.0,945.1818181818181,0.0,83.1,16.98,6.0,103.0,14.136363636363637,14.463636363636363,2018-02-26_Seat_Leon_KA_KA_Frei.csv
14.0,943.0,0.0,83.1,17.036363636363635,6.0,103.0,14.5,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
15.0,952.2727272727273,0.7272727272727273,83.1,17.292727272727273,6.0,103.0,14.390909090909092,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
16.0,945.9090909090909,1.0,83.1,17.099999999999998,6.0,103.0,14.245454545454544,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
17.0,943.0,1.9090909090909092,83.1,17.15818181818182,6.0,103.0,14.318181818181818,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
18.0,969.9090909090909,2.0,83.1,17.474545454545453,6.0,103.0,14.318181818181818,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
19.0,953.2727272727273,2.0,83.1,17.547272727272727,6.0,103.0,14.5,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
20.0,946.4166666666666,2.0,83.1,17.21833333333333,6.0,103.0,14.200000000000001,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
21.0,943.1818181818181,2.0,83.1,17.115454545454543,6.0,103.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
22.0,943.8181818181819,1.4545454545454546,83.1,17.07181818181818,6.0,103.0,14.9,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
23.0,924.1818181818181,1.0,83.1,16.69272727272727,6.0,103.0,14.9,14.863636363636363,2018-02-26_Seat_Leon_KA_KA_Frei.csv
24.0,925.8181818181819,1.7272727272727273,83.1,16.507272727272724,6.0,103.0,14.79090909090909,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
25.0,926.1818181818181,2.8181818181818183,83.1,16.64909090909091,6.0,103.0,14.354545454545455,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
26.0,924.0,4.818181818181818,83.1,16.66,6.0,103.18181818181819,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
27.0,967.0909090909091,7.181818181818182,83.1,17.044545454545453,6.0,104.27272727272727,14.754545454545456,15.045454545454545,2018-02-26_Seat_Leon_KA_KA_Frei.csv
28.0,1190.0,10.0,83.1,21.664166666666663,6.0,105.83333333333333,27.03333333333333,26.200000000000003,2018-02-26_Seat_Leon_KA_KA_Frei.csv
29.0,1259.8181818181818,13.363636363636363,83.13636363636364,28.51090909090909,6.0,108.63636363636364,20.70909090909091,19.736363636363638,2018-02-26_Seat_Leon_KA_KA_Frei.csv
30.0,956.0,14.454545454545455,83.42727272727274,18.919090909090908,6.0,109.36363636363636,20.181818181818183,19.0,2018-02-26_Seat_Leon_KA_KA_Frei.csv
31.0,942.9090909090909,16.09090909090909,83.1,17.268181818181816,6.0,107.54545454545455,18.736363636363635,15.0,2018-02-26_Seat_Leon_KA_KA_Frei.csv
32.0,1010.1818181818181,17.0,83.1,18.80727272727273,6.0,107.0,14.1,14.5,2018-02-26_Seat_Leon_KA_KA_Frei.csv
33.0,1013.4545454545455,17.0,83.1,18.867272727272727,6.0,106.0909090909091,14.97272727272727,15.063636363636363,2018-02-26_Seat_Leon_KA_KA_Frei.csv
34.0,990.1818181818181,17.0,83.1,18.638181818181817,6.0,106.0,19.845454545454547,19.318181818181817,2018-02-26_Seat_Leon_KA_KA_Frei.csv
35.0,1066.4545454545455,17.90909090909091,83.1,19.85272727272727,6.0,105.63636363636364,24.11818181818182,23.9,2018-02-26_Seat_Leon_KA_KA_Frei.csv
36.0,1143.7272727272727,19.09090909090909,83.1,20.968181818181815,6.0,103.18181818181819,23.245454545454546,22.672727272727272,2018-02-26_Seat_Leon_KA_KA_Frei.csv
37.0,1178.3636363636363,20.181818181818183,83.1,21.08272727272727,6.0,100.63636363636364,25.94545454545454,25.018181818181816,2018-02-26_Seat_Leon_KA_KA_Frei.csv
38.0,1274.7272727272727,21.545454545454547,83.1,23.243636363636362,6.0,103.63636363636364,30.70909090909091,30.74545454545455,2018-02-26_Seat_Leon_KA_KA_Frei.csv
39.0,1374.0,23.416666666666668,83.1,27.415000000000003,6.0,109.75,30.8,30.400000000000002,2018-02-26_Seat_Leon_KA_KA_Frei.csv
40.0,1425.5454545454545,24.0,83.1,27.349090909090908,6.0,106.63636363636364,28.2,28.70909090909091,2018-02-26_Seat_Leon_KA_KA_Frei.csv
41.0,1447.3636363636363,24.636363636363637,83.1,27.19090909090909,6.0,104.18181818181819,27.927272727272726,28.318181818181817,2018-02-26_Seat_Leon_KA_KA_Frei.csv
42.0,1446.2727272727273,25.0,83.1,26.84181818181818,6.0,103.0909090909091,26.045454545454547,25.20909090909091,2018-02-26_Seat_Leon_KA_KA_Frei.csv
43.0,1405.909090909091,24.181818181818183,83.1,25.595454545454547,6.0,100.18181818181819,20.59090909090909,21.336363636363636,2018-02-26_Seat_Leon_KA_KA_Frei.csv
44.0,1282.7272727272727,22.181818181818183,83.1,23.922727272727272,6.0,102.54545454545455,17.327272727272728,16.936363636363637,2018-02-26_Seat_Leon_KA_KA_Frei.csv
45.0,1177.5,20.0,83.1,22.353333333333335,6.0,104.0,23.474999999999998,23.349999999999998,2018-02-26_Seat_Leon_KA_KA_Frei.csv
46.0,1188.1818181818182,20.272727272727273,83.1,21.216363636363635,6.0,101.0909090909091,26.845454545454547,26.963636363636365,2018-02-26_Seat_Leon_KA_KA_Frei.csv
47.0,1254.0,21.416666666666668,83.1,22.5725,5.083333333333333,100.58333333333333,29.75,30.2,2018-02-26_Seat_Leon_KA_KA_Frei.csv
