ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,0.0,0.0,89.0,0.86,1.0,97.0,14.5,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
1.0,98.9090909090909,0.0,89.0,2.516363636363636,1.0,101.0909090909091,14.20909090909091,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
2.0,621.0909090909091,0.0,83.1,18.878181818181815,1.0,99.45454545454545,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
3.0,1019.2727272727273,0.0,83.1,17.885454545454543,1.0,94.63636363636364,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
4.0,1001.3333333333334,0.0,83.1,17.430833333333332,1.0,95.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
5.0,995.2727272727273,0.0,83.1,17.137272727272727,1.0,95.0,14.20909090909091,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
6.0,976.7272727272727,0.0,83.31818181818181,16.96909090909091,1.0,95.0,14.5,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
7.0,954.0,0.0,83.5,16.69272727272727,1.0,95.18181818181819,14.318181818181818,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
8.0,978.75,1.0,83.5,17.396666666666665,1.0,96.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
9.0,986.75,1.3333333333333333,83.5,17.246666666666666,1.0,96.5,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
10.0,978.0,2.5,83.5,17.446666666666665,1.0,97.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
11.0,1017.75,3.0,83.5,18.15,1.0,97.83333333333333,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
12.0,1019.1818181818181,3.0,83.5,18.181818181818183,1.0,98.0909090909091,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
13.0,970.6666666666666,3.0833333333333335,83.5,17.47,1.0,99.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
14.0,945.5384615384615,4.3076923076923075,83.5,16.983076923076922,1.0,99.0,14.099999999999998,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
15.0,964.6153846153846,6.615384615384615,83.5,17.32384615384615,1.0,99.0,15.253846153846155,15.076923076923077,2018-02-26_Seat_Leon_RT_RT_Frei.csv
16.0,1148.4545454545455,9.454545454545455,83.5,21.084545454545452,1.0,100.81818181818181,23.20909090909091,23.0,2018-02-26_Seat_Leon_RT_RT_Frei.csv
17.0,1401.8333333333333,12.5,83.5,28.673333333333332,1.0,107.66666666666667,21.916666666666668,23.166666666666668,2018-02-26_Seat_Leon_RT_RT_Frei.csv
18.0,1177.7692307692307,13.0,83.5,23.515384615384615,1.0,103.6923076923077,14.346153846153847,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
19.0,999.4545454545455,13.363636363636363,83.13636363636364,19.009090909090908,1.0,100.0,17.036363636363635,16.536363636363635,2018-02-26_Seat_Leon_RT_RT_Frei.csv
20.0,953.5,15.714285714285714,83.5,18.578571428571426,1.0,101.42857142857143,16.635714285714286,16.614285714285714,2018-02-26_Seat_Leon_RT_RT_Frei.csv
21.0,1176.5384615384614,17.0,83.5,22.429230769230767,1.0,102.53846153846153,14.099999999999998,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
22.0,1082.0,17.0,83.46923076923076,19.924615384615382,1.0,100.53846153846153,14.099999999999998,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
23.0,1034.5714285714287,16.428571428571427,83.1,19.184285714285714,0.0,101.42857142857143,14.471428571428572,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
24.0,1026.3076923076924,16.0,83.34615384615384,18.879230769230766,0.0,102.23076923076923,14.315384615384614,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
25.0,1029.5384615384614,15.384615384615385,83.46923076923076,19.00076923076923,0.0,103.0,14.099999999999998,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
26.0,1035.857142857143,13.428571428571429,83.1,19.13285714285714,0.0,103.0,14.1,14.214285714285714,2018-02-26_Seat_Leon_RT_RT_Frei.csv
27.0,1036.3076923076924,11.076923076923077,83.34615384615384,19.12846153846154,0.0,103.0,14.099999999999998,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
28.0,1037.0,6.769230769230769,83.5,19.24230769230769,0.0,103.46153846153847,14.099999999999998,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
29.0,1024.6923076923076,2.923076923076923,83.5,19.18,0.0,104.0,14.407692307692308,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
30.0,988.6666666666666,1.25,83.5,18.3525,0.0,103.08333333333333,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
31.0,989.9090909090909,0.09090909090909091,83.5,18.033636363636365,0.0,103.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
32.0,998.5384615384615,0.0,83.5,18.405384615384616,0.0,103.0,14.346153846153847,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
33.0,1029.5,0.0,83.5,18.93,0.0,103.0,14.166666666666666,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
34.0,1038.3076923076924,0.0,83.5,19.474615384615387,0.0,103.76923076923077,14.407692307692308,14.438461538461537,2018-02-26_Seat_Leon_RT_RT_Frei.csv
35.0,1042.357142857143,0.0,83.5,19.52857142857143,0.0,104.0,14.1,14.271428571428572,2018-02-26_Seat_Leon_RT_RT_Frei.csv
36.0,1045.0,0.0,83.5,19.602307692307694,0.0,104.0,14.099999999999998,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
37.0,1044.3076923076924,0.0,83.5,19.43769230769231,0.0,104.76923076923077,14.099999999999998,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
38.0,1042.142857142857,0.0,83.5,19.62714285714286,0.0,105.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
39.0,1042.4615384615386,0.0,83.5,19.393846153846155,-0.07692307692307693,104.46153846153847,14.099999999999998,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
40.0,1043.6923076923076,0.0,83.5,19.52769230769231,-1.0,104.76923076923077,14.099999999999998,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
41.0,1039.2307692307693,0.0,83.5,19.595384615384614,-1.0,105.0,14.284615384615384,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
42.0,1013.0,0.0,83.5,18.95846153846154,-1.0,105.0,14.776923076923076,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
43.0,991.4615384615385,0.5384615384615384,83.5,18.50153846153846,-1.0,105.0,14.53076923076923,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
44.0,987.0,2.7142857142857144,83.5,18.43,-1.0,105.21428571428571,14.5,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
45.0,1022.0,5.909090909090909,83.5,18.607272727272726,-1.0,106.36363636363636,14.5,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
46.0,1129.5384615384614,10.0,83.5,21.786923076923078,-1.0,106.46153846153847,15.423076923076923,15.884615384615385,2018-02-26_Seat_Leon_RT_RT_Frei.csv
47.0,1073.076923076923,9.384615384615385,83.5,19.806923076923077,-1.0,103.6923076923077,18.36923076923077,18.13076923076923,2018-02-26_Seat_Leon_RT_RT_Frei.csv
48.0,996.9230769230769,8.23076923076923,83.5,18.63769230769231,-1.0,105.46153846153847,19.6,19.6,2018-02-26_Seat_Leon_RT_RT_Frei.csv
49.0,1020.5384615384615,9.0,83.5,19.174615384615382,-1.0,107.46153846153847,20.153846153846153,20.33846153846154,2018-02-26_Seat_Leon_RT_RT_Frei.csv
50.0,1072.4285714285713,9.0,83.5,20.434285714285714,-1.2857142857142858,109.42857142857143,21.542857142857144,20.75714285714286,2018-02-26_Seat_Leon_RT_RT_Frei.csv
51.0,1095.3076923076924,8.692307692307692,83.5,22.973076923076924,-2.0,110.15384615384616,17.49230769230769,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
52.0,1080.923076923077,4.384615384615385,83.5,20.126923076923074,-2.0,103.07692307692308,17.353846153846153,17.146153846153847,2018-02-26_Seat_Leon_RT_RT_Frei.csv
53.0,985.0909090909091,3.0,83.5,17.706363636363633,-2.0,103.27272727272727,19.16363636363636,18.8,2018-02-26_Seat_Leon_RT_RT_Frei.csv
54.0,951.1818181818181,4.636363636363637,83.5,17.85909090909091,-2.0,105.45454545454545,19.345454545454544,18.8,2018-02-26_Seat_Leon_RT_RT_Frei.csv
55.0,1174.8181818181818,9.818181818181818,83.5,23.097272727272728,-2.0,108.45454545454545,21.727272727272727,23.0,2018-02-26_Seat_Leon_RT_RT_Frei.csv
56.0,1337.6363636363637,13.454545454545455,59.63636363636363,25.37181818181818,-2.0,120.81818181818181,22.681818181818183,20.636363636363637,2018-02-26_Seat_Leon_RT_RT_Frei.csv
57.0,1149.4545454545455,14.0,59.63636363636363,20.62909090909091,-2.0,101.81818181818181,14.245454545454544,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
58.0,1054.909090909091,11.272727272727273,83.5,19.298181818181817,-2.0,100.54545454545455,14.318181818181818,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
59.0,1044.0,5.818181818181818,83.5,19.30909090909091,-2.0,103.27272727272727,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
60.0,1043.4545454545455,4.0,83.5,19.33272727272727,-2.727272727272727,104.36363636363636,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
61.0,1004.5454545454545,4.818181818181818,83.5,18.49181818181818,-3.0,105.0,15.845454545454546,15.51818181818182,2018-02-26_Seat_Leon_RT_RT_Frei.csv
62.0,1075.5,8.25,83.5,19.56,-3.0,106.16666666666667,19.75,19.625,2018-02-26_Seat_Leon_RT_RT_Frei.csv
63.0,1437.0,12.0,83.5,29.651999999999997,-3.0,115.4,33.7,34.57,2018-02-26_Seat_Leon_RT_RT_Frei.csv
64.0,1872.7272727272727,16.181818181818183,83.5,47.17545454545454,-3.0,143.0,41.91818181818182,44.64545454545455,2018-02-26_Seat_Leon_RT_RT_Frei.csv
65.0,1521.5,19.333333333333332,61.625,41.075,-3.0,109.5,19.3,17.966666666666665,2018-02-26_Seat_Leon_RT_RT_Frei.csv
66.0,1262.7272727272727,20.818181818181817,59.63636363636363,24.563636363636363,-3.0,107.63636363636364,27.336363636363636,29.627272727272725,2018-02-26_Seat_Leon_RT_RT_Frei.csv
67.0,1142.1818181818182,21.90909090909091,83.5,21.94181818181818,-3.0,103.0909090909091,14.281818181818181,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
68.0,1052.3636363636363,18.454545454545453,83.5,19.19272727272727,-3.6363636363636362,99.81818181818181,14.281818181818181,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
69.0,1044.4545454545455,11.909090909090908,83.5,19.14,-4.0,102.72727272727273,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
70.0,1043.7272727272727,6.181818181818182,83.5,19.472727272727273,-4.0,104.45454545454545,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
71.0,1044.090909090909,3.272727272727273,83.5,19.365454545454547,-4.0,105.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
72.0,1041.3636363636363,1.5454545454545454,83.5,19.50181818181818,-4.0,105.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
73.0,1038.7272727272727,1.0,83.5,19.181818181818183,-4.0,105.0,14.463636363636363,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
74.0,1040.25,0.3333333333333333,83.5,19.345,-4.0,105.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
75.0,1039.1818181818182,0.0,83.5,19.47,-4.0,105.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
76.0,1041.909090909091,0.0,83.5,19.57181818181818,-4.0,105.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
77.0,1041.0,0.0,83.5,19.356,-4.0,105.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
78.0,1041.1818181818182,0.0,83.5,19.234545454545454,-4.0,105.0,14.1,14.5,2018-02-26_Seat_Leon_RT_RT_Frei.csv
