ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,1031.857142857143,0.0,83.5,18.38714285714286,-1.0,102.0,14.1,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
1.0,1033.6923076923076,0.0,83.5,18.91,-1.0,102.0,14.099999999999998,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
2.0,1040.142857142857,0.0,83.5,18.91,-1.0,102.0,14.1,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
3.0,1044.0,0.0,83.5,18.966923076923077,-1.0,102.0,14.099999999999998,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
4.0,1044.0,0.0,83.5,19.17,-1.0,102.61538461538461,14.099999999999998,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
5.0,1044.0,0.0,83.33333333333333,19.205000000000002,-1.0,103.0,14.1,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
6.0,1044.0,0.0,83.31818181818181,19.11,-1.0,103.0,14.1,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
7.0,1042.0,0.0,83.5,19.19,-1.0,103.0,14.299999999999999,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
8.0,1042.3333333333333,0.0,83.5,19.3875,-1.0,103.0,14.5,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
9.0,1042.4615384615386,0.0,83.5,19.273846153846154,-1.0,103.0,14.161538461538461,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
10.0,1042.0,0.0,83.5,19.175,-1.0,103.0,14.1,14.166666666666666,2018-03-01_Seat_Leon_S_RT_Normal.csv
11.0,1040.923076923077,0.0,83.5,19.11769230769231,-1.0,102.23076923076923,14.099999999999998,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
12.0,1040.3846153846155,0.0,83.5,19.086923076923078,-1.0,103.0,14.099999999999998,14.5,2018-03-01_Seat_Leon_S_RT_Normal.csv
