ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,926.5,0.0,83.1,15.770000000000001,6.0,97.0,14.5,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
1.0,931.0909090909091,0.0,83.1,15.905454545454546,6.0,97.0,14.20909090909091,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
2.0,925.0909090909091,0.0,83.1,15.88,6.0,97.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
3.0,924.5454545454545,0.0,83.1,15.893636363636364,6.0,97.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
4.0,923.6666666666666,0.0,83.1,15.735833333333334,6.0,97.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
5.0,923.8333333333334,0.0,83.1,15.899166666666668,6.0,97.0,14.233333333333334,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
6.0,922.2727272727273,0.0,83.1,15.766363636363637,6.0,97.0,14.318181818181818,14.354545454545455,2018-03-23_Seat_Leon_S_RT_Stau.csv
7.0,925.7272727272727,0.0,83.1,15.96,6.0,97.27272727272727,14.1,14.281818181818181,2018-03-23_Seat_Leon_S_RT_Stau.csv
8.0,923.0,0.0,83.1,15.745,6.0,98.0,14.633333333333333,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
9.0,920.5,0.0,83.1,15.7675,6.0,98.0,14.9,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
10.0,944.0,0.5833333333333334,83.1,16.026666666666667,6.0,98.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
11.0,947.7142857142857,1.0,83.1,16.029285714285713,6.0,98.92857142857143,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
12.0,965.0,1.0,83.1,16.636666666666667,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
13.0,944.0,1.3636363636363635,83.1,16.274545454545457,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
14.0,934.5,2.5,83.1,16.103333333333335,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
15.0,949.4545454545455,3.0,83.1,16.57181818181818,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
16.0,967.4545454545455,2.272727272727273,83.1,16.937272727272727,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
17.0,951.1,2.0,83.1,16.48,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
18.0,944.5,2.0,83.1,16.466666666666665,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
19.0,943.0,2.0,83.1,16.569090909090907,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
20.0,932.0909090909091,2.1818181818181817,83.1,16.098181818181818,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
21.0,944.1,2.8,83.1,16.24,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
22.0,966.0833333333334,1.6666666666666667,83.1,16.688333333333333,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
23.0,929.9166666666666,0.5,83.1,15.926666666666668,6.0,99.0,14.133333333333333,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
24.0,934.0,0.6666666666666666,83.1,15.745,6.0,99.0,14.5,14.433333333333332,2018-03-23_Seat_Leon_S_RT_Stau.csv
25.0,941.6363636363636,1.8181818181818181,83.1,16.180000000000003,6.0,99.0,14.354545454545455,14.20909090909091,2018-03-23_Seat_Leon_S_RT_Stau.csv
26.0,973.0,1.9166666666666667,83.1,16.735,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
27.0,931.3636363636364,1.0,83.1,16.07090909090909,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
28.0,925.1818181818181,1.0,83.1,15.797272727272729,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
29.0,919.0,0.5833333333333334,83.1,15.7425,6.0,98.41666666666667,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
30.0,916.6666666666666,0.0,83.1,15.705833333333333,6.0,98.0,14.166666666666666,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
31.0,918.6363636363636,0.0,83.1,15.633636363636363,6.0,98.0,14.390909090909092,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
32.0,917.1666666666666,0.0,83.1,15.633333333333333,6.0,98.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
33.0,916.5,0.0,83.1,15.731666666666667,6.0,98.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
34.0,915.4166666666666,0.0,83.1,15.648333333333333,6.0,98.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
35.0,913.0,0.0,83.1,15.412,6.0,98.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
36.0,925.75,0.0,83.1,15.633333333333335,6.0,98.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
37.0,936.3,0.0,83.1,16.076,6.0,98.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
38.0,936.0,0.0,83.1,15.844545454545454,6.0,98.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
39.0,928.6363636363636,0.0,83.1,15.773636363636363,6.0,98.9090909090909,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
40.0,947.0,0.0,83.1,16.087272727272726,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
41.0,950.0,0.8888888888888888,83.1,16.226666666666667,6.0,99.0,14.233333333333333,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
42.0,983.1666666666666,1.0,83.1,16.77333333333333,6.0,99.0,14.333333333333334,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
43.0,944.1818181818181,1.0,83.1,16.39272727272727,6.0,99.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
44.0,921.2307692307693,1.3076923076923077,83.1,15.84153846153846,6.0,99.0,14.099999999999998,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
45.0,913.75,3.0,83.1,15.596666666666666,6.0,99.0,14.433333333333332,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
46.0,911.25,5.333333333333333,83.1,15.745,6.0,99.83333333333333,14.200000000000001,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
47.0,945.6666666666666,7.666666666666667,83.1,16.506666666666664,6.0,100.0,14.333333333333334,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
48.0,1028.3636363636363,6.818181818181818,83.1,17.653636363636362,6.0,100.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
49.0,979.3333333333334,4.75,83.1,17.235833333333332,6.0,100.0,14.1,14.5,2018-03-23_Seat_Leon_S_RT_Stau.csv
50.0,968.0,4.0,83.1,16.8,6.0,100.0,14.1,14.34,2018-03-23_Seat_Leon_S_RT_Stau.csv
51.0,920.75,2.5,83.1,16.8,6.0,99.0,14.1,14.1,2018-03-23_Seat_Leon_S_RT_Stau.csv
