ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),INTAKE_MANIFOLD_PRESSURE (),SHORT_TERM_FUEL_TRIM_BANK_1 (),LONG_TERM_FUEL_TRIM_BANK_1 (),drive_id
0.0,0.0,0.0,89.0,0.88,16.0,96.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
1.0,0.0,0.0,89.0,0.88,16.0,96.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
2.0,124.61538461538461,0.0,87.03846153846153,6.021538461538461,16.0,96.0,14.099999999999998,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
3.0,936.6153846153846,0.0,83.4076923076923,15.405384615384616,16.0,94.23076923076923,14.099999999999998,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
4.0,939.1538461538462,0.0,83.1,16.18846153846154,16.0,95.0,14.099999999999998,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
5.0,912.75,0.0,83.1,15.14,16.0,95.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
6.0,888.7272727272727,0.0,83.1,14.743636363636364,16.0,95.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
7.0,893.8333333333334,0.0,83.1,14.661666666666667,16.0,95.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
8.0,943.1538461538462,0.0,83.1,15.48923076923077,16.0,95.3076923076923,14.099999999999998,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
9.0,928.6666666666666,0.0,83.1,15.528333333333334,16.0,96.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
10.0,947.3636363636364,0.0,83.1,15.80181818181818,16.0,96.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
11.0,947.8,0.5,83.1,15.996,16.0,96.7,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
12.0,966.0,1.5,83.1,16.264,16.0,97.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
13.0,958.5454545454545,1.4545454545454546,83.1,16.696363636363635,16.0,97.72727272727273,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
14.0,949.8181818181819,1.0,83.1,16.293636363636363,16.0,98.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
15.0,952.0,1.0,83.1,16.505,16.0,98.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
16.0,955.2727272727273,1.0,83.1,16.503636363636364,16.0,98.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
17.0,936.2,1.0,83.1,16.208,16.0,98.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
18.0,976.7272727272727,1.0,83.1,16.535454545454545,16.0,98.0,14.390909090909092,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
19.0,937.7272727272727,1.0,83.1,16.284545454545455,16.0,98.0,14.718181818181819,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
20.0,913.9090909090909,1.1818181818181819,83.1,15.760909090909092,16.0,98.0,14.281818181818181,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
21.0,907.9090909090909,3.5454545454545454,83.1,15.635454545454547,16.0,98.36363636363636,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
22.0,945.0,6.818181818181818,83.1,15.860909090909091,16.0,99.0,14.681818181818182,15.009090909090908,2018-04-23_Seat_Leon_RT_KA_Normal.csv
23.0,1179.5454545454545,10.090909090909092,83.1,20.977272727272727,16.0,99.54545454545455,24.55454545454546,24.172727272727272,2018-04-23_Seat_Leon_RT_KA_Normal.csv
24.0,1480.090909090909,12.909090909090908,83.1,27.061818181818182,16.0,100.63636363636364,29.154545454545453,29.05454545454545,2018-04-23_Seat_Leon_RT_KA_Normal.csv
25.0,1588.2,14.0,83.1,28.707,16.0,98.9,29.0,29.4,2018-04-23_Seat_Leon_RT_KA_Normal.csv
26.0,1606.8181818181818,14.0,83.1,28.522727272727273,16.0,97.27272727272727,28.527272727272727,27.94545454545454,2018-04-23_Seat_Leon_RT_KA_Normal.csv
27.0,1609.7272727272727,14.0,83.1,28.516363636363636,16.0,96.18181818181819,27.8,27.8,2018-04-23_Seat_Leon_RT_KA_Normal.csv
28.0,1610.8181818181818,14.0,83.1,28.44,16.0,96.9090909090909,27.172727272727272,27.38181818181818,2018-04-23_Seat_Leon_RT_KA_Normal.csv
29.0,1594.6363636363637,14.0,83.1,28.19181818181818,16.0,96.9090909090909,25.645454545454548,25.60909090909091,2018-04-23_Seat_Leon_RT_KA_Normal.csv
30.0,1562.909090909091,14.0,83.1,27.81,16.0,96.18181818181819,25.718181818181815,25.754545454545454,2018-04-23_Seat_Leon_RT_KA_Normal.csv
31.0,1543.8181818181818,13.909090909090908,83.1,27.35181818181818,16.0,96.72727272727273,23.80909090909091,23.90909090909091,2018-04-23_Seat_Leon_RT_KA_Normal.csv
32.0,1474.2727272727273,12.818181818181818,83.1,26.060909090909092,16.0,96.0,21.38181818181818,20.254545454545454,2018-04-23_Seat_Leon_RT_KA_Normal.csv
33.0,1280.090909090909,11.181818181818182,83.1,23.19,16.0,96.9090909090909,15.927272727272726,15.80909090909091,2018-04-23_Seat_Leon_RT_KA_Normal.csv
34.0,1038.0,8.636363636363637,83.1,17.937272727272727,16.0,98.54545454545455,14.1,14.390909090909092,2018-04-23_Seat_Leon_RT_KA_Normal.csv
35.0,957.2727272727273,8.0,83.1,16.715454545454545,16.0,99.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
36.0,946.2727272727273,6.909090909090909,83.1,16.49,16.0,99.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
37.0,949.9090909090909,4.090909090909091,83.1,16.376363636363635,16.0,99.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
38.0,903.5454545454545,1.5454545454545454,83.1,15.694545454545453,16.0,99.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
39.0,894.8181818181819,0.18181818181818182,83.1,15.18909090909091,16.0,98.0,14.1,14.5,2018-04-23_Seat_Leon_RT_KA_Normal.csv
40.0,898.2727272727273,0.0,83.1,15.305454545454545,16.0,98.0,14.827272727272726,14.79090909090909,2018-04-23_Seat_Leon_RT_KA_Normal.csv
